LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,"FREMONT CONTRACT CARRIERS, INC.",865 S BUD BLVD,FREMONT,NE,68025,484121,Corporation,White,Unanswered,Unanswered,NA,0,04/03/2020,Pinnacle Bank,NE - 01
a $5-10 million,"FUSION HOLDINGS, INC.","11808 Grant St, Suite 100",OMAHA,NE,68164,561320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,500,04/27/2020,Union Bank and Trust Company,NE - 02
a $5-10 million,HCI MANAGEMENT SERVICES COMPANY,1 Mission Drive,WINNEBAGO,NE,68071,541611,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/13/2020,Great Western Bank,NE - 01
a $5-10 million,HERITAGE HOLDINGS L.P.,16934 Frances St #200,OMAHA,NE,68130,623311,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,NA,500,04/10/2020,Northwest Bank,NE - 02
a $5-10 million,"JET LINX AVIATION, LLC",13030 Pierce Street Suite 100,OMAHA,NE,68144,481211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,499,04/07/2020,Security National Bank of Omaha,NE - 02
a $5-10 million,"KEARNEY REGIONAL MEDICAL CENTER, LLC",804 22ND AVE,KEARNEY,NE,68845,622110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/13/2020,First National Bank of Omaha,NE - 03
a $5-10 million,"LANDMARK IMPLEMENT, INC",915 BREWSTER RD,HOLDREGE,NE,68949,423820,Corporation,Unanswered,Male Owned,Unanswered,NA,375,04/08/2020,Exchange Bank,NE - 03
a $5-10 million,LUTZ & COMPANY PC,13616 California St STE 300,OMAHA,NE,68154,541211,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/09/2020,First National Bank of Omaha,NE - 02
a $5-10 million,MAINELLI MECHANICAL CONTRACTORS INC.,8701 N 29th St,OMAHA,NE,68112,238220,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,NA,NA,04/09/2020,First National Bank of Omaha,NE - 01
a $5-10 million,NEBRASKA ORTHOPAEDIC HOSPITAL LLC,2808 S 143rd Plaza,OMAHA,NE,68144,622310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/08/2020,First National Bank of Omaha,NE - 02
a $5-10 million,"ONESTAFF MEDICAL, LLC",11718 NICHOLAS ST STE 101,OMAHA,NE,68154,621399,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,NA,100,04/14/2020,American National Bank,NE - 02
a $5-10 million,"ONEWORLD COMMUNITY HEALTH CENTERS, INC",4920 S. 30th Street,OMAHA,NE,68107,621498,Corporation,Unanswered,Unanswered,Unanswered,NA,240,04/07/2020,American National Bank,NE - 01
a $5-10 million,"PRIME TIME HEALTH CARE, LLC",15380 WEIR ST,OMAHA,NE,68137,561311,Subchapter S Corporation,White,Unanswered,Non-Veteran,NA,500,04/14/2020,American National Bank,NE - 02
a $5-10 million,REGIONAL WEST PHYSICIANS CLINIC,"2 West 42nd Street, Suite 2600",SCOTTSBLUFF,NE,69361,621111,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,293,04/10/2020,Platte Valley Bank,NE - 03
a $5-10 million,"REHAB VISIONS, INC",11623 Arbor Street,OMAHA,NE,68144,621340,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,0,04/27/2020,"UMB Bank, National Association",NE - 02
a $5-10 million,"ROTELLA'S ITALIAN BAKERY, INC.",6949 S 108th,LA VISTA,NE,68128,311812,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,466,04/04/2020,Northwest Bank,NE - 02
a $5-10 million,"SAMPSON CONSTRUCTION CO., INC.",5825 S 14th St,LINCOLN,NE,68512,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,315,04/03/2020,Union Bank and Trust Company,NE - 01
a $5-10 million,"SOJERN, INC.",18135 BURKE ST SUITE 300,ELKHORN,NE,68022,541613,Corporation,Unanswered,Unanswered,Unanswered,NA,337,04/10/2020,Core Bank,NE - 02
a $5-10 million,"SPREETAIL, LLC",2021Transformation Dr 0.0,LINCOLN,NE,68521,454110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,NA,221,04/09/2020,"JPMorgan Chase Bank, National Association",NE - 01
a $5-10 million,STANDARD NUTRITION COMPANY,"11823 Arbor Street, Suite 100 PO BOX 3844",OMAHA,NE,68103,311119,Corporation,Unanswered,Male Owned,Non-Veteran,NA,467,04/05/2020,Pinnacle Bank,NE - 02
a $5-10 million,THE JAMES SKINNER CO.,4651 F ST,OMAHA,NE,68117,311813,Corporation,Unanswered,Unanswered,Unanswered,NA,500,05/30/2020,Security National Bank of Omaha,NE - 02
a $5-10 million,TSL COMPANY HOLDINS LTD,10001 S 152nd,OMAHA,NE,68138,484121,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/10/2020,Great Western Bank,NE - 02
b $2-5 million,"A.A.I., INC.",3201 YANKEE HILL RD,LINCOLN,NE,68516,441110,Corporation,Unanswered,Male Owned,Unanswered,NA,250,04/03/2020,Five Points Bank,NE - 01
b $2-5 million,ADAMS LAND & CATTLE LLC,327 South 1st Ave,BROKEN BOW,NE,68822,112112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/11/2020,First National Bank of Omaha,NE - 03
b $2-5 million,"AG VALLEY COOPERATIVE, NON-STOCK",72133 North Highway 136 PO Box 68,EDISON,NE,68936,424910,Corporation,Unanswered,Unanswered,Unanswered,NA,218,04/12/2020,CoBank ACB,NE - 03
b $2-5 million,ALLIED OIL AND TIRE COMPANY,2209 S 24TH ST,OMAHA,NE,68108,424720,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/06/2020,First National Bank of Omaha,NE - 02
b $2-5 million,"ALN MEDICAL MANAGEMENT, LLC",3401 Village Drive Suite 200,LINCOLN,NE,68516,541219,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,NA,191,04/05/2020,First Western Trust Bank,NE - 01
b $2-5 million,"ALVINE AND ASSOCIATES, INC.",1201 Cass St,OMAHA,NE,68102,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/07/2020,First National Bank of Omaha,NE - 02
b $2-5 million,"ASSOCIATED ANESTHESIOLOGISTS, P.C.","2900 South 70th Street, Suite 450",LINCOLN,NE,68506,551112,Corporation,Unanswered,Unanswered,Unanswered,NA,50,04/04/2020,Union Bank and Trust Company,NE - 01
b $2-5 million,"ASSOCIATED STAFFING, INC",820 N WEBB RD,GRAND ISLAND,NE,68803,561311,Subchapter S Corporation,White,Male Owned,Unanswered,NA,378,04/06/2020,Five Points Bank,NE - 03
b $2-5 million,"AYARS & AYARS, INC.",2436 N 48th Street,LINCOLN,NE,68504,236220,Corporation,Unanswered,Unanswered,Unanswered,NA,157,04/03/2020,Pinnacle Bank,NE - 01
b $2-5 million,"BADLANDS TANK LINE, TEXAS, LLC",2211 South 156th Circle Suite 2B,OMAHA,NE,68130,484121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,3,04/28/2020,Bank of the West,NE - 02
b $2-5 million,BAIRD HOLM LLP,1700 FARNAM ST STE 1500,OMAHA,NE,68102,541110,Partnership,Unanswered,Unanswered,Unanswered,NA,115,04/14/2020,First National Bank & Trust Company,NE - 02
b $2-5 million,BOONE COUNTY HEALTH CENTER,723 W Fairview St,ALBION,NE,68620,622110,Corporation,Unanswered,Unanswered,Unanswered,NA,250,04/04/2020,Cornerstone Bank,NE - 03
b $2-5 million,BOX BUTTE GENERAL HOSPITAL,2101 BOX BUTTE AVE,ALLIANCE,NE,69301,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,280,04/27/2020,Sandhills State Bank,NE - 03
b $2-5 million,BRODSTONE MEMORIAL HOSPITAL,520 E 10TH ST,SUPERIOR,NE,68978,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,196,04/08/2020,Central National Bank,NE - 01
b $2-5 million,"BROWN TRANSFER COMPANY, LLC",68847 11TH ST,KEARNEY,NE,68847,488999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,277,04/08/2020,BBVA USA,NE - 03
b $2-5 million,"BROWN'S MEDICAL IMAGING, LLC",14315 'C' Circle,OMAHA,NE,68144,423450,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/06/2020,First National Bank of Omaha,NE - 02
b $2-5 million,"BUILDERS WAREHOUSE, INC.",4600   2ND AVE,KEARNEY,NE,68847,444110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,330,04/30/2020,Bank of the West,NE - 03
b $2-5 million,"BURLINGTON CAPITAL PM GROUP, INC.",1004 Farnam St Ste 400,OMAHA,NE,68102,531311,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,245,04/06/2020,Enterprise Bank,NE - 02
b $2-5 million,"CAPITOL CITY ELECTRIC, INC.","4220 Lucile Drive, Suite 1",LINCOLN,NE,68506,238210,Corporation,Unanswered,Unanswered,Unanswered,NA,168,04/03/2020,Union Bank and Trust Company,NE - 01
b $2-5 million,"CARSON GROUP HOLDINGS, LLC",13321 California St Suite 100,OMAHA,NE,68154,523920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,235,04/03/2020,Pinnacle Bank,NE - 02
b $2-5 million,"CASSLING DIAGNOSTIC IMAGING, INC.",13808 F Street,OMAHA,NE,68137,423450,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,0,04/08/2020,"UMB Bank, National Association",NE - 02
b $2-5 million,CATHOLIC MUTUAL RELIEF SOCIETY OF AMERICA,10843 OLD MILL RD,OMAHA,NE,68154,813110,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,242,04/15/2020,Great Plains State Bank,NE - 02
b $2-5 million,"CCW, LLC",752 N.129TH ST,OMAHA,NE,68154,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,05/08/2020,First National Bank of Omaha,NE - 02
b $2-5 million,COLLEGE OF SAINT MARY,7000 Mercy Road,OMAHA,NE,68106,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,460,04/14/2020,American National Bank,NE - 02
b $2-5 million,COMMUNITY PHARMACY SERVICES INC.,12689 Northstar Dr PO Box 524,GRETNA,NE,68028,424210,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,208,04/03/2020,Great Plains State Bank,NE - 02
b $2-5 million,CONCORDIA UNIVERSITY,800 North Columbia,SEWARD,NE,68434,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,325,04/05/2020,Jones Bank,NE - 01
b $2-5 million,CONSOLIDATED SUPPLY CO INC,10325 J ST,OMAHA,NE,68127,423220,Corporation,Unanswered,Male Owned,Non-Veteran,NA,285,04/06/2020,Premier Bank,NE - 02
b $2-5 million,COUNTRY PARTNERS COOPERATIVE,120 8th Street,GOTHENBURG,NE,69138,926140,Corporation,Unanswered,Unanswered,Unanswered,NA,0,04/04/2020,Flatwater Bank,NE - 03
b $2-5 million,"CUBBYS, INC.",9229 MORMAN BRIDGE PLZ STE 6,OMAHA,NE,68152,445110,Corporation,White,Unanswered,Unanswered,NA,419,04/07/2020,American National Bank,NE - 01
b $2-5 million,"CUTCHALL MANAGEMENT COMPANY, INC.",13305 Birch Dr Ste 201,OMAHA,NE,68164,722513,Subchapter S Corporation,White,Male Owned,Veteran,NA,500,04/06/2020,Union Bank and Trust Company,NE - 02
b $2-5 million,DANA F COLE & COMPANY LLP,1248 O ST SUITE 500,LINCOLN,NE,68508,541219,Limited Liability Partnership,White,Male Owned,Veteran,NA,159,04/06/2020,Pinnacle Bank,NE - 01
b $2-5 million,DARMODY MANAGEMENT INC,9615 IDA ST,OMAHA,NE,68122,722513,Corporation,Unanswered,Unanswered,Unanswered,NA,250,04/05/2020,Security National Bank of Omaha,NE - 01
b $2-5 million,"DIAL EQUITIES, INC","10703 J ST, STE 103",OMAHA,NE,68127,531311,Corporation,Unanswered,Unanswered,Unanswered,NA,276,04/07/2020,Access Bank,NE - 02
b $2-5 million,DKPM INVESTMENTS CORPORATION,299 N 115th Street,OMAHA,NE,68154,722513,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,500,04/04/2020,Union Bank and Trust Company,NE - 02
b $2-5 million,"DRAKE WILLIAMS STEEL,INC",2301 HICKORY ST,OMAHA,NE,68108,238120,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/07/2020,Bankers Trust Company,NE - 02
b $2-5 million,DUTTON-LAINSON COMPANY,451 W. 2nd St,HASTINGS,NE,68901,333999,Corporation,Unanswered,Unanswered,Unanswered,NA,250,04/03/2020,Pinnacle Bank,NE - 03
b $2-5 million,"EAKES, INC.",617 West 3rd Street,GRAND ISLAND,NE,68801,453210,Corporation,White,Male Owned,Unanswered,NA,250,04/03/2020,Cornerstone Bank,NE - 03
b $2-5 million,"ELEMENTAL SCIENTIFIC, INC.",7277 World Communication Dr,OMAHA,NE,68122,334517,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,131,04/07/2020,Northwest Bank,NE - 01
b $2-5 million,ELLIOTT EQUIPMENT COMPANY,3514 South 25th Street,OMAHA,NE,68105,333923,Corporation,Unanswered,Male Owned,Non-Veteran,NA,112,04/06/2020,Great Western Bank,NE - 02
b $2-5 million,ENDICOTT CLAY PRODUCTS COMPANY,707TH RD,ENDICOTT,NE,68350,327331,Corporation,White,Male Owned,Non-Veteran,NA,250,04/04/2020,FNB Washington,NE - 03
b $2-5 million,"ENTERPRISE PROPERTIES, INC.",10220 F ST,OMAHA,NE,68127,327390,Corporation,Unanswered,Male Owned,Non-Veteran,NA,NA,04/10/2020,First National Bank of Omaha,NE - 02
b $2-5 million,FALEWITCH CONSTRUCTION SERVICE,11412 Centennial Road STE 800,LA VISTA,NE,68128,238310,Corporation,White,Male Owned,Non-Veteran,NA,NA,04/07/2020,First National Bank of Omaha,NE - 02
b $2-5 million,FILLMORE COUNTY HOSPITAL,1900 F ST,GENEVA,NE,68361,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,147,04/14/2020,Heartland Bank,NE - 03
b $2-5 million,FORD STORAGE & MOVING CO,10364 S 136TH STREET,OMAHA,NE,68138,484110,Corporation,Unanswered,Unanswered,Unanswered,NA,275,04/14/2020,Bank of the West,NE - 02
b $2-5 million,"FRANCISCAN CARE SERVICES, INC.",430 North Monitor Street,WEST POINT,NE,68788,622110,Corporation,Unanswered,Unanswered,Unanswered,NA,287,04/07/2020,First Community Bank,NE - 01
b $2-5 million,"FRASER STRYKER PC, LLO","409 S 17TH ST, Suite 500",OMAHA,NE,68102,541110,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,NA,93,04/08/2020,Five Points Bank of Hastings,NE - 02
b $2-5 million,FREMONT BEEF COMPANY,960 South Schneider Street,FREMONT,NE,68025,311612,Corporation,Unanswered,Unanswered,Unanswered,NA,326,04/15/2020,"U.S. Bank, National Association",NE - 01
b $2-5 million,FRENCHMAN VALLEY FARMERS COOPERATIVE INC.,202 BROADWAY,IMPERIAL,NE,69033,424910,Cooperative,Unanswered,Unanswered,Unanswered,NA,281,04/15/2020,CoBank ACB,NE - 03
b $2-5 million,FRONTIER COOPERATIVE COMPANY,3333 LANDMARK CIR,LINCOLN,NE,68504,424510,Corporation,Unanswered,Unanswered,Unanswered,NA,404,04/08/2020,American Exchange Bank,NE - 01
b $2-5 million,"GIPH RESTAURANTS, LLC",3048 W Stolley Park Rd,GRAND ISLAND,NE,68801,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/06/2020,First National Bank of Omaha,NE - 03
b $2-5 million,"GOTTSCH EMPLOYERS GROUP, LLC",20507 Nicholas Circle,ELKHORN,NE,68022,112112,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,NA,0,04/03/2020,Five Points Bank,NE - 02
b $2-5 million,GRAND ISLAND EXPRESS INC,432 S STUHR ROAD,GRAND ISLAND,NE,68801,484121,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,183,04/04/2020,Five Points Bank,NE - 03
b $2-5 million,"H & M TRUCKING, INC",2522 Edward Babe Gomez Avenue,OMAHA,NE,68107,484121,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/06/2020,First National Bank of Omaha,NE - 01
b $2-5 million,HANSEN-MUELLER CO.,12231 Emmet St,OMAHA,NE,68164,424510,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,0,04/27/2020,"Farm Credit Services of America, ACA",NE - 02
b $2-5 million,HASTINGS COLLEGE,710 N. TURNER AVE,HASTINGS,NE,68901,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,250,04/04/2020,Five Points Bank of Hastings,NE - 03
b $2-5 million,"HAUSMANN CONSTRUCTION, INC.",8885 EXECUTIVE WOODS DR,LINCOLN,NE,68512,236220,Corporation,White,Male Owned,Non-Veteran,NA,250,04/03/2020,Pinnacle Bank,NE - 01
b $2-5 million,HEARTLAND FAMILY SERVICE,2101 S 42 Street,OMAHA,NE,68105,813311,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,71,04/04/2020,American National Bank,NE - 02
b $2-5 million,"HILL BROTHERS, INC.",7850 I ST,OMAHA,NE,68127,484121,Corporation,Unanswered,Unanswered,Unanswered,NA,250,04/04/2020,American National Bank,NE - 02
b $2-5 million,"HUGHES BROTHERS, INC.",210 N 13th St,SEWARD,NE,68434,321999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/10/2020,First National Bank of Omaha,NE - 01
b $2-5 million,INDEPENDENT INVESTORS INC,2132 S 156th Cir,OMAHA,NE,68130,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,194,04/04/2020,Northwest Bank,NE - 02
b $2-5 million,INSPRO,4000 Pine Lake Rd,LINCOLN,NE,68506,524210,Corporation,Unanswered,Unanswered,Unanswered,NA,155,04/04/2020,Union Bank and Trust Company,NE - 01
b $2-5 million,INTEGRATED LIFE CHOICES INC.,6800 Normal Blvd,LINCOLN,NE,68506,623210,Corporation,White,Male Owned,Non-Veteran,NA,500,04/09/2020,West Gate Bank,NE - 01
b $2-5 million,JEFFERSON COMMUNITY HEALTH & LIFE,2200 H St,FAIRBURY,NE,68352,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,256,04/06/2020,American National Bank,NE - 03
b $2-5 million,JENSEN TIRE CO,10365 S 136th St,OMAHA,NE,68138,441320,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,198,04/06/2020,Northwest Bank,NE - 02
b $2-5 million,"JEO CONSULTING GROUP, INC.",19378 N. Chestnut Street,WAHOO,NE,68066,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,238,04/03/2020,Union Bank and Trust Company,NE - 01
b $2-5 million,"JEWISH FEDERATION OF OMAHA, INC",333 South 132nd St,OMAHA,NE,68154,813219,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,351,04/03/2020,Union Bank and Trust Company,NE - 02
b $2-5 million,"KIDWELL, INC.",3333 FOLKWAYS CIR,LINCOLN,NE,68504,238210,Corporation,Unanswered,Unanswered,Unanswered,NA,221,04/03/2020,NebraskaLand National Bank,NE - 01
b $2-5 million,KOLEY JESSEN P.C. L.L.O.,1125 S 103RD ST ONE PACIFIC PL SUITE 800,OMAHA,NE,68124,541110,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/10/2020,First National Bank of Omaha,NE - 02
b $2-5 million,"LAMP RYNEARSON, INC.",14710 W Dodge RD STE 100,OMAHA,NE,68154,541330,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/08/2020,First National Bank of Omaha,NE - 02
b $2-5 million,"LANDSCAPES UNLIMITED, LLC",1201 ARIES DRIVE,LINCOLN,NE,68512,238990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,310,04/09/2020,Union Bank and Trust Company,NE - 01
b $2-5 million,"LANOHA NURSERIES, INC.",19111 West Center Road,OMAHA,NE,68130,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,218,04/03/2020,Enterprise Bank,NE - 02
b $2-5 million,LEXINGTON REGIONAL HEALTH CENTER,1201 North Erie St,LEXINGTON,NE,68850,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,NA,04/13/2020,Great Western Bank,NE - 03
b $2-5 million,LI-COR INC,4647 Superior Street,LINCOLN,NE,68504,334516,Corporation,Unanswered,Unanswered,Unanswered,NA,296,04/03/2020,Union Bank and Trust Company,NE - 01
b $2-5 million,"LINCOLN SURGERY CENTER, LLC",1710 S 70th St,LINCOLN,NE,68506,622110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,216,04/04/2020,Union Bank and Trust Company,NE - 01
b $2-5 million,LINPEPCO PARTNERSHIP,1901 Windhoek Dr,LINCOLN,NE,68512,424490,Limited Liability Partnership,White,Male Owned,Unanswered,NA,337,04/06/2020,Security National Bank of Omaha,NE - 01
b $2-5 million,"LTI TECHNOLOGY SOLUTIONS, INC.",4139 S 143RD CIR,OMAHA,NE,68137,511210,Subchapter S Corporation,White,Unanswered,Unanswered,NA,111,04/04/2020,Foundation One Bank,NE - 02
b $2-5 million,LUTHERAN FAMILY SERVICES OF NEBRASKA INC.,124 S. 24th St.,OMAHA,NE,68102,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,250,04/04/2020,Dundee Bank,NE - 02
b $2-5 million,"MAJORS PLASTICS, INC",10117 I ST,OMAHA,NE,68127,326199,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/06/2020,Bankers Trust Company,NE - 02
b $2-5 million,"MARIANNA INDUSTRIES, INC.",11122 I ST,OMAHA,NE,68137,325620,Corporation,Unanswered,Unanswered,Unanswered,NA,331,04/15/2020,Fifth Third Bank,NE - 02
b $2-5 million,MCGRATH NORTH MULIN & KRATZ PC LLC,1601 DODGE ST STE 3700,OMAHA,NE,68102,541110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,NA,120,04/03/2020,Five Points Bank,NE - 02
b $2-5 million,"MD WEST ONE,PC",8005 Fanam Drve,OMAHA,NE,68114,621111,Corporation,Unanswered,Unanswered,Unanswered,NA,172,04/04/2020,American National Bank,NE - 02
b $2-5 million,MEMORIAL COMMUNITY HEALTH INC,1423 7th St,AURORA,NE,68818,622110,Non-Profit Organization,Unanswered,Male Owned,Non-Veteran,Y,250,04/03/2020,Heartland Bank,NE - 03
b $2-5 million,"MEMORIAL HEALTH CARE SYSTEMS, SEWARD, NEBRASKA",300 North Columbia Avenue,SEWARD,NE,68434,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,234,04/06/2020,Jones Bank,NE - 01
b $2-5 million,"MEYERS-CARLISLE-LEAPLEY CONSTRUCTION COMPANY, INC",14124 Industrial Rd,OMAHA,NE,68144,236220,Corporation,White,Male Owned,Non-Veteran,NA,34,04/05/2020,American National Bank,NE - 02
b $2-5 million,MIDLAND SCIENTIFIC INC,10651 Chandler Rd Ste 102,LA VISTA,NE,68128,424210,Corporation,White,Female Owned,Non-Veteran,NA,138,04/05/2020,"Black Hills Community Bank, National Association",NE - 02
b $2-5 million,MIDLAND UNIVERSITY,900 N CLARKSON ST,FREMONT,NE,68025,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,250,04/04/2020,Foundation One Bank,NE - 01
b $2-5 million,"MIDWEST EYE CARE, PC",4353 DODGE ST,OMAHA,NE,68131,621320,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/06/2020,First National Bank of Omaha,NE - 02
b $2-5 million,MILLARD LUMBER INC.,12900 I ST,OMAHA,NE,68137,444130,Corporation,Unanswered,Unanswered,Unanswered,NA,290,04/05/2020,Bank of Bennington,NE - 02
b $2-5 million,MULHALL'S NURSERY INC,4936 N 120th St,OMAHA,NE,68164,444220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/10/2020,First National Bank of Omaha,NE - 02
b $2-5 million,NATIONAL ARBOR DAY FOUNDATION,211 N 12th Street,LINCOLN,NE,68508,813312,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,381,04/03/2020,Union Bank and Trust Company,NE - 01
